,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
0,ANIMALS,<p>Yo recomiendo un perro porque los perros son juguetones. Los perros pueden hacer un lio pero los perros son agradables. </p>,A1,3711555,2,N4741888,Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ,I,1,N3,I-SE,4428,3768.0,,,,Unknown,2021-07-05,I-MM
1,CAREERS,<p>Hola </p><p>Se Jose y a mi me gustar tener uno trabjo que yo se el jefe y a me mi gusta ayudar a las gente y tabemani trabjor para ayudar a la gente. Lo que yo qero hacer es ayudar a la gente que lo mas lo qere y que no tenga case.</p>,B2,3744925,31,E4782017,Your pen pal from Mexico wants to know what you want to do when you grow up. She sent you an email about how she loves school^ loves helping people^ and wants to teach Spanish.  Write an email to your pen pal describing your dream job. Explain to her why you want to do this job. Be as specific as you can. ,I,1,Below N4,I-SE,4428,,,,Bilingual education,Heritage Language,2021-07-05,I-MM
2,CITY_TOWN,<p>Hola^ me llamo Kevin. Yo tengo trece anos y soy sociable. Un lugar para ir a la verano es ir a Hershey Park porque es divertido. Un otro lugar para ir a la verano es ir a Olive Garden. Comenmos en el Olive Garden. </p>,A1,3711555,2,N4741888,A teacher from Guadalajara will be visiting your school. He will be in town for only 3 days. He wants to visit interesting places in your town.   Write an email to the teacher^ including appropriate greeting and closing to your message. Provide information about things to do in different^ popular places in your town.  ,N,1,N3,N-MF,4428,3768.0,,,,Unknown,2021-07-05,N-MF
3,COMMUNICATION,,A1,3711555,2,N4741888,A new Spanish exchange student is nervous about giving his first oral presentation in class next week. He wants to know about student presentations  in your school.  Write him an email telling him about the different types of presentations students make in class and what they are like.,I,1,N3,I-NE,4428,3768.0,,,,Unknown,2021-07-05,I-NE
4,DIRECTIONS,<p>hola </p><p>Yo so jose para usar un libro devse que usar una tagete para poder usar el libro^ para tenger una tagete devse que pedel el la maestad para que tu ayuder y que tu mende a la biblioteca.</p>,B2,3744925,31,E4782017,You are emailing an exchange student from Costa Rica who is new to your school. This student loves to read and wants to know how to borrow books from a library.  Write an email in which you explain how to check out books from a library. Be as specific as you can and include details and instructions that will help the new exchange student check out books and use the library. ,I,1,Below N4,I-NE,4428,,,,Bilingual education,Heritage Language,2021-07-05,I-MM
5,EDUCATION,,B2,3744925,31,E4782017,The students in your partner school in Madrid want to learn more about students and education in your community.  In two well-developed^ organized paragraphs^ write an email in which you address the following:   	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live. 	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.  ,A,1,Below N4,A-NE,4428,,,,Bilingual education,Heritage Language,2021-07-05,A-NE
6,FAMILY,<p>Hola^ me llamo Kevin. Yo tengo trece anos. Yo soy sociable y me gusta jugar videojeugos con mis amigos. Mi madre se llama Ivon. Ella teine cuarenta anos. Ella es paciente y le gusta cocinar. Gracias^ Kevin. </p>,A1,3711555,2,N4741888,An exchange student from Buenos Aires is going to be staying with your family for two weeks over the summer. He wants to know more about your family and your home.  Write a letter to the exchange student. Tell him about your family members and where you live. Give your family members’ names and ages^ and write a short description of them. Be sure to use an appropriate greeting and closing in your letter. ,N,1,N3,N-MM,4428,3768.0,,,,Unknown,2021-07-05,N-MF
7,LANGUAGE ARTS,,B2,3744925,31,E4782017,You have been asked to contribute a book review to the online school newspaper^ which will be read by students in Colombia.  Write a short review in Spanish about your favorite book^ or a book you recently read for school. In two well-developed^ organized paragraphs^ be sure to do the following:   	Summarize the plot. What happened in the book? Include anything that the characters did that was interesting or unexpected. 	Explain what you liked about the book and what you think could be better. Provide information that will help the reader decide if this book is worth reading or not.  ,A,1,Below N4,A-NE,4428,,,,Bilingual education,Heritage Language,2021-07-05,A-NE
8,POP_CULTURE,,A1,3711555,2,N4741888,Your pen pal from Barcelona wrote you a letter and describes the toy^ |Fidget Spinner^| that is very popular in her school at the moment. It is very distracting^ but everyone loves it. She asked you to tell her about something that is very popular in your school or community right now.  Write an email in Spanish to your pen pal and describe something that is very popular in your school or community at the moment. Describe it with as much detail as you can and explain why you think it is so popular. ,I,1,N3,I-NE,4428,3768.0,,,,Unknown,2021-07-05,I-NE
9,POP_CULTURE,,B2,3744925,31,E4782017,A group of exchange students from Mexico is coming to your school. They want to understand the trends that are currently popular in your school.  Write a blog post in Spanish about what is popular in your school and community. In two well-developed^ organized paragraphs^ be sure to address the following topics:   	Describe the current clothing trends in your school community. Write about what is popular for students to wear both in and outside of school. 	Many communities have places where young people like to get together. Think of a place like this in your community. Tell a story about a time when you or someone you know spent time there and describe everything that happened from beginning to end.  ,A,1,Below N4,A-NE,4428,,,,Bilingual education,Heritage Language,2021-07-05,A-NE
